Reference,Value,Footprint,Mouser,Notes
C1,10u16V,Capacitors_SMD:C_0805_HandSoldering,81-GRM21BC81C106KE5L,"This Murata is X6S (5.9u biased at 5V)"
C10,10u,Capacitors_SMD:C_0805_HandSoldering,81-GRM21R60J106KE19L,"This Murata is X5R 6.3V (7.5u biased at 3.3V)"
C11,100n,Capacitors_SMD:C_0805_HandSoldering,581-08055C104KAT4A,"This AVX is X7R 50V"
C12,100n,Capacitors_SMD:C_0805_HandSoldering,,
C13,10u,Capacitors_SMD:C_0805_HandSoldering,,
C14,DNP,Capacitors_SMD:C_0603_HandSoldering,,
C15,DNP,Capacitors_SMD:C_1206_HandSoldering,,
C16,10u,Capacitors_SMD:C_0805_HandSoldering,,
C17,10u,Capacitors_SMD:C_0805_HandSoldering,,
C18,10u,Capacitors_SMD:C_0805_HandSoldering,,
C19,10u,Capacitors_SMD:C_0805_HandSoldering,,
C2,10u,Capacitors_SMD:C_0805_HandSoldering,,
C20,10u,Capacitors_SMD:C_0805_HandSoldering,,
C21,220u,Jonas_caps:c_elec_6.3x7.7,647-UUR1C221MCL6GS,
C22,220u,Jonas_caps:c_elec_6.3x7.7,,
C23,DNP,Capacitors_SMD:C_0805_HandSoldering,,
C24,DNP,Capacitors_SMD:C_0805_HandSoldering,,
C25,2.2u,Capacitors_SMD:C_0805_HandSoldering,81-GRM21BR71A225KA01,"This Murata is X7R 10V"
C26,2.2u,Capacitors_SMD:C_0805_HandSoldering,,
C27,100n,Capacitors_SMD:C_0805_HandSoldering,,
C28,10u16V,Capacitors_SMD:C_0805_HandSoldering,,
C29,100p,Capacitors_SMD:C_0805,,
C3,27p,Capacitors_SMD:C_0805_HandSoldering,80-C0805C270K5G,
C30,100p,Capacitors_SMD:C_0805,,
C31,10u,Capacitors_SMD:C_0805_HandSoldering,,
C32,DNP,Capacitors_SMD:C_0805,,
C33,DNP,Capacitors_SMD:C_0805,,
C4,27p,Capacitors_SMD:C_0805_HandSoldering,,
C5,100n,Capacitors_SMD:C_0805_HandSoldering,,
C6,1u,Capacitors_SMD:C_0805_HandSoldering,,
C7,100n,Capacitors_SMD:C_0805_HandSoldering,,
C8,100n,Capacitors_SMD:C_0805_HandSoldering,,
C9,100n,Capacitors_SMD:C_0805_HandSoldering,,
D1,green,Footprints:LED-3MM,,
D2,orange,Footprints:LED-3MM,,
J1,JACK_TRS,Jonas_Connectors:35RASMT2BHNTRX,502-35RASMT2BHNTRX,
J11,CONN_01X03,Pin_Headers:Pin_Header_Straight_1x03,,
J2,JACK_TRS,Jonas_Connectors:35RASMT2BHNTRX,,
J21,CONN_01X03,Pin_Headers:Pin_Header_Straight_1x03,,
L1,DNP,Capacitors_SMD:C_0805,,
P1,CONN_01X02,Pin_Headers:Pin_Header_Straight_1x02,,
P2,USB_OTG,Jonas_Connectors:USB_Micro_FCI,649-10118193-0001LF,
P3,CONN_02X05,Jonas_Connectors:Pin_Header_SMT_1.27_2x5,649-202112100010C4LF,
P4,CONN_01X08,Pin_Headers:Pin_Header_Angled_1x08,,
P5,CONN_01X03,Pin_Headers:Pin_Header_Straight_1x03,,
P6,CONN_01X04,Pin_Headers:Pin_Header_Angled_1x04,,
P7,CONN_01X02,Pin_Headers:Pin_Header_Straight_1x02,,
P8,CONN_01X02,Pin_Headers:Pin_Header_Straight_1x02,,
R1,R,Resistors_SMD:R_0805_HandSoldering,,
R10,100k,Resistors_SMD:R_0805_HandSoldering,754-RR1220P-104D,
R11,100k,Resistors_SMD:R_0805_HandSoldering,,
R12,560k,Resistors_SMD:R_0805_HandSoldering,"754-RR1220P-564D ",
R13,560k,Resistors_SMD:R_0805_HandSoldering,,
R14,100k,Resistors_SMD:R_0805_HandSoldering,,
R15,100k,Resistors_SMD:R_0805_HandSoldering,,
R2,100k,Resistors_SMD:R_0805_HandSoldering,,
R3,100k,Resistors_SMD:R_0805_HandSoldering,,
R4,100k,Resistors_SMD:R_0805_HandSoldering,,
R5,100k,Resistors_SMD:R_0805_HandSoldering,,
R6,100k,Resistors_SMD:R_0805_HandSoldering,,
R7,100k,Resistors_SMD:R_0805_HandSoldering,,
R8,470,Resistors_SMD:R_0805_HandSoldering,,
R9,470,Resistors_SMD:R_0805_HandSoldering,,
U1,AP2210K-3.3,Footprints:SOT-23-5_Handsoldering,621-AP2210K-3.3TRG1,"alt: NJM2866F33-TE1, alt: LP2985"
U2,STM32F405RG,Jonas_QFP:QFP50P1200X1200-64,511-STM32F405RGT6,
U3,opamp,Housings_SSOP:MSOP-8_3x3mm_Pitch0.65mm,,"Evaluating MCP6002T-I/MS, LMR358FVM-GTR, TLV272CM8-13"
U4,WM8731,Housings_SSOP:SSOP-28_5.3x10.2mm_Pitch0.65mm,238-WM8731SEDS/V,
U5,AP2210K-3.3,Footprints:SOT-23-5_Handsoldering,,
Y1,Crystal,Crystals:Crystal_HC49-SD_SMD,815-ABLS-8-B2,
